Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
1.3689747743596538e-09,1546.3000000000002,1.0000000000000002,4.302671078139144e-06,0.5769157284996821,4.873415202555551e-06,0.3846091350605299,4.3371898367452074e-06,2.508533036021384e-07,0.038461372310367024,0.622013093170157,9.871108549752075e-06,8.153826906543303e-07,0.003921196653146413,6.145756953511973e-05,4.699831680833602e-09,2.384080504003472e-06,8.667689137376636e-09,7.85879609671556e-11,1.7627046444355689e-06,0.373989405884664
1.6227659887130733e-09,1546.3000000000002,1.0000000000000002,4.975499881437758e-06,0.5769145789023553,5.636022617760273e-06,0.3846081574888828,5.015599430096775e-06,2.901618195022395e-07,0.03846134632501323,0.622014125934947,9.87217338047792e-06,8.159500370775726e-07,0.0039216294142309285,6.148993060579248e-05,4.702323967911128e-09,2.38423670867325e-06,8.668270449395878e-09,7.85932313922163e-11,1.7628301124163502e-06,0.37398790608079013
1.876557203066493e-09,1546.3000000000002,1.0000000000000002,6.321089228487668e-06,0.5769122794267116,7.161589097983758e-06,0.38460620220171127,6.372498223964391e-06,3.6884093927131967e-07,0.03846129435408744,0.6220161914150056,9.874302544737358e-06,8.170849061065442e-07,0.003922494746358077,6.155465441334039e-05,4.707308700175069e-09,2.384549042624934e-06,8.669432804006881e-09,7.860376979951312e-11,1.7630809955447429e-06,0.37398490671138834
2.384139631773332e-09,1546.3000000000002,1.0000000000000002,7.666587529811798e-06,0.5769099795764983,8.68762437607303e-06,0.3846042467227707,7.72950310757858e-06,4.476028453638342e-07,0.03846124238287235,0.6220182568290492,9.876431046392092e-06,8.182200100200197e-07,0.00392335982521753,6.161938044150636e-05,4.712293643155992e-09,2.3848612761067477e-06,8.670594799550285e-09,7.861430495124323e-11,1.7633318082619635e-06,0.37398190765964834
2.891722060480171e-09,1546.3000000000002,0.9999999999999999,9.011994744470948e-06,0.5769076793518184,1.0214128367014337e-05,0.38460229105214433,9.086614015016878e-06,5.264475407257668e-07,0.03846119041137,0.6220203221770918,9.87855888583553e-06,8.193553487862816e-07,0.003924224650959472,6.168410868906194e-05,4.717278796735788e-09,2.3851734091771667e-06,8.67175643623507e-09,7.862483684930125e-11,1.7635825506088657e-06,0.3739789089254044
3.3993044891870097e-09,1546.3000000000002,1.0000000000000002,1.1702535756651707e-05,0.5769030777794572,1.3268542160266738e-05,0.38459837913615613,1.180115364793263e-05,6.84385310526602e-07,0.03846108646751145,0.6220244526752408,9.882812579623435e-06,8.21626730756508e-07,0.00392595354367668,6.18135718377084e-05,4.727249735243625e-09,2.3857973743118653e-06,8.67407863384395e-09,7.864589089179275e-11,1.7640838243511677e-06,0.3739729124087615
4.414469346600689e-09,1546.3000000000002,1.0000000000000002,1.4392711951074926e-05,0.576898474710422,1.632482982379797e-05,0.38459446645438816,1.451611661624522e-05,8.426542711912451e-07,0.03846098252252755,0.6220285829095857,9.887063629210901e-06,8.238990517781489e-07,0.003927681425697021,6.194304385018088e-05,4.737221514812273e-09,2.386420938491132e-06,8.676399398485387e-09,7.866693194196471e-11,1.764584817094758e-06,0.3739669171601426
5.429634204014366e-09,1546.3000000000002,1.0000000000000002,1.9771968646547905e-05,0.576889264085474,2.244302417194924e-05,0.384586638796052,1.9947310555173056e-05,1.1601858540755488e-06,0.038460774629246124,0.622036842587411,9.895557808175646e-06,8.284465100335727e-07,0.0039311341623780765,6.22020144309386e-05,4.7571675936456826e-09,2.3876668658245324e-06,8.681036635447725e-09,7.870897512502677e-11,1.765585960873373e-06,0.3739549304617218
7.459963918841724e-09,1546.3000000000002,1.0000000000000002,2.5149762348357696e-05,0.5768800474832725,2.8568706221876783e-05,0.38457880808222145,2.5380191817484715e-05,1.479042467632565e-06,0.03846056673165066,0.6220451012116412,9.904041447443077e-06,8.329977216587142e-07,0.003934582870437753,6.246102035946511e-05,4.777117026224194e-09,2.3889111948495163e-06,8.685668160248791e-09,7.875096651750594e-11,1.7665859845123852e-06,0.373942948819677
9.490293633669078e-09,1546.3000000000002,1.0000000000000002,3.052609058509094e-05,0.5768708249100992,3.4701870793187725e-05,0.3845709743179676,3.081475639956771e-05,1.7992242895716773e-06,0.03846035882986568,0.6220533587833386,9.912514571624264e-06,8.375526847609696e-07,0.003938027559271825,6.272006156394075e-05,4.797069805543832e-09,2.390153929223093e-06,8.690293985960814e-09,7.879290623792695e-11,1.7675848905686842e-06,0.3739309722235928
1.1520623348496435e-08,1546.3000000000002,1.0000000000000002,3.59009508956072e-05,0.576861596372223,4.084251271248315e-05,0.3845631375083493,3.625100030690902e-05,2.1207314971362246e-06,0.03846015092401534,0.6220616153035531,9.920977205225283e-06,8.421113974474508e-07,0.003941468238235595,6.29791379725185e-05,4.817025924602643e-09,2.391395072586707e-06,8.694914125600016e-09,7.883479440430656e-11,1.7685826815880506e-06,0.3739190006631069
